V1,V2,weight
1645,1749,0.98
1645,1164,0.26
1645,742,0.78
1645,827,0.86
1645,1582,0.99
577,319,0.94
577,46,0.9
577,588,0.89
577,1639,0.92
577,486,0.64
577,501,0.69
577,805,0.72
1092,1302,0.66
1092,996,0.75
772,43,0.98
772,623,0.96
772,1062,0.94
112,1322,0.35
112,1171,0.92
112,786,0.38
621,142,0.81
621,683,0.86
621,1191,0.98
621,1712,0.45
621,588,0.52
1447,1048,0.8
1694,1512,0.73
1694,1528,0.89
1694,1645,0.93
957,1054,0.94
957,423,0.98
957,107,0.98
957,899,0.61
274,1013,0.88
1107,319,0.79
1107,462,0.39
1295,319,0.98
1295,46,0.83
1295,487,0.74
1295,134,0.65
454,288,1.0
454,858,0.92
454,826,0.73
1443,1393,0.99
1294,956,0.77
433,1326,0.97
823,1333,0.9
823,1082,0.93
823,1083,0.97
1134,229,0.96
1134,217,0.98
1134,295,0.98
1134,646,0.93
784,79,0.95
30,46,0.93
30,1145,0.95
355,1240,0.94
355,529,1.0
478,43,0.9
929,20,0.99
929,1013,0.75
929,694,0.83
929,937,0.95
929,1085,0.92
929,1063,0.79
929,1549,0.87
929,1093,0.79
1058,1107,0.73
1058,253,0.79
1058,1216,0.83
1058,93,0.7
1058,1302,0.47
1146,300,0.95
1146,1363,1.0
1146,1322,0.5
1146,886,0.88
1146,1467,0.72
544,59,0.83
1751,87,0.68
1751,331,0.76
1751,1549,0.81
1751,1482,0.79
1751,1410,1.0
1751,830,0.94
1751,983,0.99
317,1474,0.88
317,1302,0.64
317,886,0.86
1683,807,0.6
497,46,1.0
497,437,0.98
1621,229,0.81
1390,1398,0.71
1390,1354,0.94
496,694,0.95
496,8,0.83
496,1224,0.83
496,886,0.89
496,229,0.98
496,300,0.97
496,1538,0.67
1455,886,0.72
251,1190,0.95
251,977,0.96
473,916,0.88
547,1302,0.74
547,319,0.79
547,1639,0.76
547,109,0.9
1297,1023,0.83
1297,459,0.97
650,655,0.94
650,46,0.94
650,1145,0.96
660,229,0.98
660,217,0.99
660,1302,0.67
660,886,0.89
660,300,0.97
660,1639,0.69
660,285,0.69
1174,694,0.83
1174,1129,0.91
1174,1322,0.4
1174,826,0.59
1174,833,0.69
550,516,0.89
550,406,0.9
335,899,0.96
335,336,0.97
1579,809,0.75
1579,879,0.82
