"source","target","value"
"911","1322","0.46"
"911","462","0.26"
"911","694","0.89"
"911","486","0.93"
"911","1375","0.92"
"911","1352","0.95"
"911","595","0.79"
"201","62","0.98"
"870","392","0.89"
"870","109","0.87"
"870","274","0.84"
"978","1025","0.99"
"978","886","0.82"
"978","694","0.88"
"978","1356","0.85"
"1178","84","0.6"
"1178","694","0.63"
"1151","1356","0.83"
"1151","902","0.76"
"1151","43","0.64"
"213","18","0.95"
"213","693","0.9"
"213","300","0.73"
"213","660","0.69"
"213","442","0.69"
"213","644","0.99"
"1146","783","0.79"
"895","768","0.86"
"483","488","0.71"
"483","510","0.99"
"1256","913","0.88"
"1256","1308","0.79"
"1256","1302","0.65"
"1263","809","0.82"
"818","1268","0.69"
"515","693","0.4"
"515","812","0.78"
"733","1200","0.9"
"733","423","0.74"
"733","302","0.87"
"882","694","0.81"
"882","1190","0.66"
"1047","805","0.76"
"226","1302","0.45"
"162","319","0.91"
"162","223","0.99"
"162","694","0.85"
"162","1190","1"
"162","1308","0.99"
"162","99","0.96"
"725","319","0.96"
"725","134","0.6"
"638","46","0.98"
"1246","155","0.45"
"971","998","0.82"
"84","1308","0.8"
"869","560","0.95"
"869","529","0.93"
"869","1250","0.81"
"569","406","0.79"
"1311","697","0.93"
"1311","43","0.56"
"1311","1345","0.39"
"1311","1356","0.37"
"810","322","0.82"
"810","26","0.95"
"810","211","0.91"
"810","258","1"
"810","505","0.82"
"1014","62","0.65"
"251","295","0.88"
"743","539","0.84"
"743","46","0.96"
"743","319","0.88"
"743","322","0.97"
"743","1003","0.99"
"743","265","0.76"
"743","107","0.95"
"743","826","0.88"
"743","462","0.49"
"743","1201","0.8"
"743","378","0.77"
"1098","59","0.84"
"1098","1235","0.81"
"1098","373","0.83"
"298","431","0.86"
"363","518","0.89"
"715","347","0.96"
"715","319","0.54"
"715","588","0.49"
"715","1164","0.46"
"715","827","0.94"
"296","785","0.8"
"296","274","0.83"
"296","319","0.88"
"117","1322","0.5"
"117","9","0.93"
"1028","827","0.86"
"1028","1322","0.43"
"1028","888","0.93"
"1262","886","0.78"
"961","572","0.95"
"961","11","0.93"
"1365","746","0.83"
"1193","1356","0.84"
"1193","979","0.74"
"488","488","0.84"
"761","182","0.96"
"1319","1042","0.95"
"846","237","0.83"
"846","337","0.77"
"846","1128","0.92"
"833","767","0.67"
"833","1123","0.87"
"579","86","0.74"
"579","803","0.79"
"1260","46","0.96"
"1260","319","0.8"
"286","46","0.96"
"286","664","0.98"
"286","288","0.93"
"286","462","0.4"
"229","462","0.16"
"1090","709","0.92"
"485","368","0.9"
"485","24","0.64"
"485","462","0.63"
"485","1201","0.94"
"485","18","0.94"
"485","918","0.47"
"447","1322","0.68"
"447","486","0.71"
"79","378","0.58"
"221","560","0.74"
"221","17","0.54"
"1315","1363","0.66"
"1315","120","0.74"
"1315","1254","0.78"
"684","319","0.81"
"684","46","0.97"
"606","1076","0.93"
"465","319","0.55"
"34","1145","0.98"
"34","319","0.84"
"34","733","1"
"34","260","0.98"
"34","1322","0.65"
"34","693","0.73"
"34","43","0.83"
"34","35","0.88"
"287","1013","0.8"
"287","174","0.94"
"531","57","0.97"
"531","1225","0.96"
"419","827","0.97"
"419","459","0.86"
"1235","830","0.88"
"1123","811","0.74"
"1274","807","0.52"
"651","46","0.93"
"590","1145","0.87"
"590","253","0.98"
"702","1200","0.85"
"702","537","0.98"
"702","1322","0.45"
"702","807","0.63"
"702","1013","0.8"
"702","296","0.81"
"1182","694","0.74"
"1333","937","0.71"
"610","285","0.99"
"610","18","0.96"
"610","627","0.97"
"610","319","0.99"
"610","46","0.83"
"610","43","0.67"
"610","827","0.47"
"92","1350","0.86"
"677","1068","0.86"
"677","618","0.94"
"677","30","0.99"
"677","537","0.88"
"677","1164","0.69"
"677","1372","0.69"
"395","46","0.67"
"395","742","0.95"
"161","156","0.99"
"161","17","0.93"
"161","235","0.97"
"161","694","0.84"
"161","224","0.99"
"548","1117","0.9"
"548","1201","0.71"
"317","830","0.91"
"317","654","0.93"
"333","1308","0.76"
"333","26","0.94"
"333","1302","0.62"
"333","1164","0.59"
"1240","1316","0.9"
"891","305","0.93"
"891","1114","0.8"
"891","600","0.88"
"763","93","0.98"
"763","433","0.88"
"763","46","0.95"
"763","998","0.87"
"763","1085","0.88"
"500","1164","0.57"
"500","423","0.7"
"500","46","0.8"
"438","737","0.95"
"438","378","0.37"
"927","1322","0.8"
"1241","746","0.83"
"1241","1302","0.41"
"1241","879","0.77"
"792","694","0.84"
"792","319","0.6"
"152","46","0.92"
"152","423","0.82"
"152","26","0.96"
"966","823","0.9"
"966","1083","0.87"
"966","793","0.93"
"966","234","0.97"
"124","378","0.46"
"124","561","0.57"
"124","1268","0.72"
"124","387","0.94"
"264","1322","0.51"
"264","1164","0.63"
"264","977","0.7"
"146","1164","0.61"
"338","407","0.98"
"1187","155","0.98"
"1187","319","0.88"
"1212","442","0.85"
"1212","1267","0.6"
"130","43","0.93"
"130","27","0.92"
"130","218","0.94"
"1224","1164","0.49"
"1224","807","0.55"
"258","644","0.84"
"1117","879","0.78"
"1117","884","0.91"
"1074","616","0.74"
"516","1302","0.55"
"516","406","0.91"
"1022","859","0.66"
"344","1090","1"
"344","291","0.89"
"385","322","0.79"
"385","698","0.99"
"385","702","1"
"385","67","0.88"
"385","952","0.98"
"385","486","0.94"
"385","689","0.94"
"385","742","0.93"
"385","644","0.61"
"385","693","0.52"
"1197","112","0.91"
"288","1190","0.87"
"387","265","0.98"
"387","1054","0.88"
"387","319","0.86"
"387","107","0.79"
"989","558","0.86"
"989","93","0.63"
"989","1117","0.55"
"38","1308","0.96"
"38","667","0.95"
"38","134","0.5"
"723","478","0.99"
"723","43","0.91"
"277","43","0.71"
"277","549","0.95"
"277","879","0.7"
"277","406","0.7"
"1231","644","0.5"
"1122","62","0.76"
"1122","1123","0.73"
"1122","406","0.93"
"1122","501","0.98"
"575","75","0.88"
"376","982","0.84"
"1287","1007","0.66"
"1335","1013","0.69"
"1335","841","0.79"
"1335","406","0.84"
"848","236","0.69"
"848","1308","0.6"
"848","46","0.66"
"541","407","0.98"
"173","1308","0.91"
"173","1164","0.74"
"173","1160","0.69"
"379","319","0.89"
"688","486","0.92"
"688","588","0.45"
"688","469","0.9"
"624","549","0.43"
"404","319","0.96"
"404","668","0.99"
"404","693","0.93"
"404","365","0.98"
"942","285","0.98"
"942","433","0.88"
"942","644","0.98"
"942","319","0.96"
"942","1164","0.97"
"942","406","0.64"
"942","694","0.72"
"942","96","0.64"
"942","1216","0.64"
"942","805","0.62"
"942","378","0.93"
"942","588","0.99"
"942","807","0.97"
"942","156","0.88"
"942","933","0.53"
"942","643","0.74"
"942","660","0.67"
"1216","124","0.98"
"252","561","0.79"
"252","994","0.94"
"156","1164","0.47"
"156","43","0.87"
"156","694","0.79"
"156","93","0.74"
"156","224","0.64"
"1103","961","0.91"
"1103","537","0.86"
"118","1013","0.94"
"118","694","0.98"
"118","282","0.96"
"1133","229","0.66"
"1133","300","0.6"
"1133","1146","0.65"
"1133","979","0.76"
"47","841","0.93"
"115","770","0.89"
"115","364","0.96"
"115","1302","0.98"
"115","1126","0.69"
"115","994","0.8"
"115","1292","0.67"
"538","1162","0.98"
"538","195","0.85"
"859","1298","0.93"
"609","486","0.92"
"1298","501","0.95"
"1298","1097","0.93"
"1298","1316","0.91"
"1298","109","0.9"
"1289","93","0.65"
"931","43","0.75"
"931","879","0.76"
"625","486","0.9"
"625","689","0.9"
"625","506","0.84"
"625","46","0.64"
"625","1201","0.4"
"625","378","0.36"
"1270","886","0.75"
"1270","229","0.88"
"1270","1290","0.95"
"1270","1254","0.99"
"1270","319","0.57"
"1270","43","0.89"
"1270","1130","0.92"
"1191","937","0.79"
"1350","411","0.97"
"1350","9","0.89"
"878","1118","0.7"
"878","45","0.99"
"878","1275","0.91"
"878","578","0.93"
"878","680","0.87"
"878","660","0.88"
"878","1322","0.4"
"878","1013","0.75"
"878","1164","0.51"
"375","353","0.98"
"375","1258","0.93"
"147","830","0.94"
"788","1118","0.98"
"916","319","0.55"
"291","1203","0.89"
"759","1166","0.91"
"759","359","0.82"
"919","977","0.86"
"919","561","0.85"
"919","462","0.46"
"919","378","0.74"
